2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/lib/oracle/agent/core/12.1.0.5.0/ocm/jlib/jlib/log4j-core.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/lib/oracle/agent/core/12.1.0.5.0/oui/jlib/jlib/log4j-core.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/lib/oracle/agent/core/12.1.0.5.0/rda/da/lib/log4j-core.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/lib/oracle/agent/core/12.1.0.5.0/sysman/jlib/log4j-core.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/lib/oracle/agent/plugins/oracle.mysql.omys.discovery.plugin_12.1.0.3.0/lib/log4j-1.2.15.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.4/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.4/webapps/geoserver/WEB-INF/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.1/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.1/webapps/geoserver/WEB-INF/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.3/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/opt/geoserver-2.14.3/webapps/geoserver/WEB-INF/lib/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
2021-12-22 18:39:21@10.15.39.16@EGIP-CAP14P.passport.local@RedHat@7.6@x86_64@/usr/openv/lib/java/log4j-1.2.17.jar contains Log4J-1.x   <= 1.2.17 _OLD_
